Pixel Media;22 Stuart St, Birmingham B7 5NN, Wielka Brytania;3;TRUE;FALSE;TRUE;-72,62093933;-97,42148624;63;126
Jewel Enterprises;4 Abbots Leys Rd, Winchcombe, Cheltenham GL54 5QE, Wielka Brytania;2;TRUE;TRUE;FALSE;-17,86470309;-43,78994918;82;159
Mount;67 Primrose Terrace, Porth CF39 9TF, Wielka Brytania;1;FALSE;TRUE;TRUE;-46,83953057;-38,47520782;100;206
Cavologies;28-30 Church St, Inverness IV1 1EH, Wielka Brytania;2;TRUE;TRUE;FALSE;-13,81305821;92,7808085;134;243
Topiarytelligence;1 Harvey Rd, Truro TR1 2XW, Wielka Brytania;5;TRUE;TRUE;TRUE;-2,463178045;-77,40076266;106;175
Topiarytelligence;Mill Ln, Skegness PE24 5BB, Wielka Brytania;1;TRUE;FALSE;TRUE;-1,595202318;-107,3337494;46;81
Fjordustries;Coupar Angus Rd, Blairgowrie PH13 9HA, Wielka Brytania;2;TRUE;FALSE;FALSE;7,067617643;-166,5703471;106;197
Quadland;319 Stonegate Rd, Leeds LS17, Wielka Brytania;5;TRUE;FALSE;TRUE;-55,57796347;114,6155076;140;297
Wonderlife;22 Rhindmuir Ave, Glasgow G69 6BE, Wielka Brytania;3;FALSE;FALSE;FALSE;-49,84505181;-140,8601243;134;245
Betarover;Talybont Rd, Llanrwst LL26 0DW, Wielka Brytania;2;FALSE;TRUE;FALSE;-63,88040309;173,3566919;55;105
Brisk;42 Midland Rd, Derby DE1 2SP, Wielka Brytania;5;FALSE;TRUE;TRUE;56,74123837;66,01727412;51;93
Freak Enterprises;8 Pemscott Cl, Alvescot, Bampton OX18 2QE, Wielka Brytania;4;TRUE;TRUE;TRUE;-53,91379307;11,20136924;44;94
Explorer Technologies;4 Newbold Cres, Birkenhead, West Kirby, Wirral CH48 6EX, Wielka Brytania;1;FALSE;FALSE;TRUE;-62,63244422;-107,3967048;78;123
Hatchworks;21 Littleton Ln, Guildford GU3 1HP, Wielka Brytania;4;FALSE;TRUE;FALSE;2,644594241;123,1792278;67;99
Lemonetworks;56 Harwich Rd, Mistley, Manningtree CO11 1LL, Wielka Brytania;4;TRUE;TRUE;FALSE;61,41392582;-53,47345182;111;230
Ceasarts;1 Watergate Ln, Lewes BN7 1UG, Wielka Brytania;2;FALSE;TRUE;TRUE;84,68638721;126,3603697;110;214
Heartelligence;12 Shore Rd, Avoch IV9 8QD, Wielka Brytania;4;FALSE;TRUE;FALSE;-15,62788192;-170,2935103;107;208
Dwarfforce;9 St Mary's Mansions, London W2 1SQ, Wielka Brytania;3;FALSE;TRUE;TRUE;-56,08197992;125,1955554;107;209
Marshstone;4 The Glebe, East Saltoun, Pencaitland, Tranent EH34 5HG, Wielka Brytania;5;TRUE;TRUE;TRUE;10,85619126;-38,12556536;67;120
Berryforce;17 Over Norton Rd, Chipping Norton OX7 5NZ, Wielka Brytania;4;FALSE;TRUE;FALSE;-67,48547207;55,9661653;80;168
Moonlight Co.;11 Cumberland Walk, Newcastle upon Tyne NE7 7SX, Wielka Brytania;1;TRUE;TRUE;FALSE;-69,15943228;172,3016109;115;211
Alligator Co.;19 Weathercock Ln, Gateshead NE9 5JD, Wielka Brytania;1;FALSE;TRUE;FALSE;36,84639247;-43,15688494;70;136
Prime;5 Shoestanes Rd, Heriot EH38 5YA, Wielka Brytania;4;TRUE;FALSE;TRUE;-2,100488918;141,8087015;63;102
Elviations;194 Fleet St, London EC4A 2LT, Wielka Brytania;1;FALSE;FALSE;FALSE;18,92272938;27,00156922;57;105
Wizardustries;Unnamed Road, Blairgowrie PH13, Wielka Brytania;4;TRUE;TRUE;TRUE;-77,27320765;-96,85825378;134;264
Valkyrecords;Farnham Delivery Office, 107 West St, Farnham GU9 7LQ, Wielka Brytania;1;TRUE;FALSE;FALSE;2,557549325;-27,42952186;120;249
Bearings;2 Main Rd, Lacey Green, Princes Risborough HP27 0RA, Wielka Brytania;3;FALSE;TRUE;TRUE;-31,9907637;-67,45790318;75;159
Ironsearch;5 Cockshoot Cl, Stonesfield, Witney OX29 8ED, Wielka Brytania;3;FALSE;TRUE;FALSE;29,33590067;-5,837852174;104;219
Marshwares;9 Barend St, Millport, Isle of Cumbrae KA28 0BL, Wielka Brytania;2;TRUE;TRUE;FALSE;52,71418388;-116,9283266;114;212
Firelife;Stronvaar Ave, Campbeltown PA28 6SW, Wielka Brytania;2;FALSE;TRUE;FALSE;59,21949027;115,2186398;55;75
Granite Softwares;Halftide Wharf, Liverpool L3 4DQ, Wielka Brytania;5;TRUE;FALSE;FALSE;2,537837188;78,04445052;76;113
Thunder Limited;91 Manchester Rd, Heywood OL10 2EQ, Wielka Brytania;3;TRUE;FALSE;FALSE;56,1864372;169,3041207;132;231
Root;C Rd, Nottingham NG9, Wielka Brytania;4;TRUE;TRUE;TRUE;-40,01773111;138,1504425;98;215
Low Tidustries;Meadow Bank, Battle TN33, Wielka Brytania;2;FALSE;FALSE;TRUE;40,97290812;73,26364931;45;58
Typhoonavigations;8 Maynestone Rd, Chinley, High Peak SK23 6AQ, Wielka Brytania;2;FALSE;FALSE;FALSE;-61,47910975;29,67924982;125;252
Plutronics;45 Meeting St, Quorn, Loughborough LE12 8EU, Wielka Brytania;5;TRUE;FALSE;TRUE;-1,204107209;-163,1061816;81;132
Cruxolutions;66 Keswick Gardens, Ilford IG4 5ND, Wielka Brytania;3;FALSE;FALSE;FALSE;-88,11443144;-110,5966881;114;218
Bridgepoint;5 Stuart Cl, Brentwood CM15 9LZ, Wielka Brytania;3;FALSE;TRUE;TRUE;71,93698046;63,51094877;132;257
Karmatime;6 Limehurst Rd, Northampton NN5 6LP, Wielka Brytania;3;TRUE;FALSE;FALSE;-16,35530823;-179,4528447;44;87
Worldware;30 Oates Rd, Romford RM5 2HT, Wielka Brytania;1;TRUE;FALSE;TRUE;-36,87046426;45,67127643;114;246
Void Corp;52 Champion Hill, London SE5 8DW, Wielka Brytania;4;FALSE;TRUE;FALSE;59,30884385;14,07786204;99;180
Electron Solutions;36 Castle Cl, The Hay Loft, North Charlton, Chathill NE67 5HP, Wielka Brytania;4;FALSE;TRUE;FALSE;-70,89562488;75,72459643;97;174
Jupiter Technologies;4A West Cl, Prescot L34 2RB, Wielka Brytania;1;TRUE;FALSE;TRUE;29,24721113;-17,21533449;58;128
Buckoustics;25 Store St, Ashton-under-Lyne OL7 9QA, Wielka Brytania;2;FALSE;TRUE;FALSE;-8,136871769;86,39580775;134;269
